Date,commodities
2014-07-01,-2776468000000.0
2014-10-01,-2169755000000.0
2015-01-01,-1055991000000.0
2015-04-01,-783228999999.9999
2015-07-01,-852333000000.0001
2015-10-01,-31335000000.0
2016-01-01,590639000000.0
2016-04-01,1091648999999.9999
2016-07-01,989451000000.0
2016-10-01,1014406999999.9999
2017-01-01,860401000000.0001
2017-04-01,317333000000.0
2017-07-01,896033000000.0
2017-10-01,840807000000.0
2018-01-01,64863999999.99999
2018-04-01,371988000000.00006
2018-07-01,-527783000000.0
2018-10-01,-925938000000.0
2019-01-01,-408765000000.0
2019-04-01,-689140000000.0
2019-07-01,-442829000000.0
2019-10-01,-205022000000.00003
2020-01-01,287486000000.0
2020-04-01,-2443564000000.0
2020-07-01,797031999999.9999
2020-10-01,1897695000000.0
2021-01-01,733085000000.0
2021-04-01,-26961000000.0
2021-07-01,-841393999999.9999
2021-10-01,-1603462000000.0002
2022-01-01,-3104548000000.0
2022-04-01,-5244624000000.0
2022-07-01,-6375951000000.0
2022-10-01,-6048916999999.999
2023-01-01,-4462925000000.0
2023-04-01,-2257224000000.0
2023-07-01,-1315831000000.0002
2023-10-01,-1403091000000.0
2024-01-01,-1373716000000.0
2024-04-01,-1885245000000.0
