Date,Price,Open,High,Low,Vol.,Change %
22/6/2015,"146,305","147,343","147,746","145,637",,-0.63%
23/6/2015,"146,094","146,237","146,935","145,602",,-0.14%
24/6/2015,"145,592","146,014","146,225","145,186",,-0.34%
25/6/2015,"144,922","145,531","145,791","144,715",,-0.46%
26/6/2015,"145,588","144,891","145,644","144,333",,0.46%
29/6/2015,"144,561","144,121","145,930","143,851",,-0.71%
30/6/2015,"143,504","144,489","144,672","142,703",,-0.73%
1/7/2015,"143,974","143,448","144,375","143,260",,0.33%
2/7/2015,"143,500","143,906","144,261","142,386",,-0.33%
3/7/2015,"143,507","143,410","144,087","143,071",,0.00%
6/7/2015,"143,463","142,486","143,935","142,101",,-0.03%
7/7/2015,"141,736","143,396","143,644","140,280",,-1.20%
8/7/2015,"139,767","141,683","141,818","139,504",,-1.39%
9/7/2015,"140,651","139,701","141,821","139,446",,0.63%
10/7/2015,"142,846","140,585","143,048","140,546",,1.56%
13/7/2015,"142,941","141,954","143,057","141,954",,0.07%
14/7/2015,"142,603","142,857","143,112","142,064",,-0.24%
15/7/2015,"142,281","142,487","142,907","141,679",,-0.23%
16/7/2015,"142,192","142,208","142,518","141,709",,-0.06%
17/7/2015,"140,770","142,130","142,298","140,144",,-1.00%
20/7/2015,"136,276","140,634","140,824","135,092",,-3.19%
21/7/2015,"136,423","136,177","138,012","136,084",,0.11%
22/7/2015,"135,650","136,329","136,756","134,565",,-0.57%
23/7/2015,"135,130","135,530","136,905","134,511",,-0.38%
24/7/2015,"136,091","135,065","136,427","133,451",,0.71%
27/7/2015,"134,856","135,877","136,442","134,095",,-0.91%
28/7/2015,"135,331","134,769","135,935","134,399",,0.35%
29/7/2015,"135,919","135,238","136,299","134,747",,0.43%
30/7/2015,"135,194","135,866","136,503","134,301",,-0.53%
31/7/2015,"135,795","135,012","136,356","134,125",,0.44%
3/8/2015,"134,764","135,830","136,296","134,444",,-0.76%
4/8/2015,"135,263","134,633","135,803","134,005",,0.37%
5/8/2015,"135,517","135,201","135,792","134,793",,0.19%
6/8/2015,"136,173","135,431","136,594","135,120",,0.48%
7/8/2015,"135,922","135,879","136,984","135,231",,-0.18%
10/8/2015,"137,680","135,612","138,129","135,445",,1.29%
11/8/2015,"138,770","137,608","139,757","136,470",,0.79%
12/8/2015,"139,680","138,687","139,764","137,757",,0.66%
13/8/2015,"138,741","139,597","140,056","138,481",,-0.67%
14/8/2015,"138,593","138,662","139,304","138,047",,-0.11%
17/8/2015,"139,012","138,533","139,584","138,333",,0.30%
18/8/2015,"139,049","138,940","139,437","137,978",,0.03%
19/8/2015,"140,432","138,982","140,588","138,643",,0.99%
20/8/2015,"142,176","140,349","142,596","140,238",,1.24%
21/8/2015,"141,677","142,120","143,651","140,857",,-0.35%
24/8/2015,"136,776","140,978","142,112","135,029",,-3.46%
25/8/2015,"135,620","136,694","138,875","135,110",,-0.85%
26/8/2015,"134,941","135,527","136,454","133,479",,-0.50%
27/8/2015,"136,129","134,876","136,506","134,611",,0.88%
28/8/2015,"138,007","136,042","138,239","135,777",,1.38%
31/8/2015,"137,597","137,898","138,066","136,463",,-0.30%
1/9/2015,"136,123","137,542","138,160","135,884",,-1.07%
2/9/2015,"136,455","136,070","137,273","135,841",,0.24%
3/9/2015,"135,132","136,401","136,826","134,449",,-0.97%
4/9/2015,"133,506","135,057","135,272","133,038",,-1.20%
7/9/2015,"133,526","133,331","134,314","132,867",,0.01%
8/9/2015,"134,392","133,475","134,982","133,218",,0.65%
9/9/2015,"133,496","134,350","135,568","133,260",,-0.67%
10/9/2015,"133,962","133,448","134,796","132,507",,0.35%
11/9/2015,"133,567","133,897","134,564","132,505",,-0.30%
14/9/2015,"133,347","133,465","133,736","132,464",,-0.16%
15/9/2015,"133,117","133,293","133,761","131,954",,-0.17%
16/9/2015,"134,968","133,025","135,757","132,571",,1.39%
17/9/2015,"135,792","134,891","136,416","134,536",,0.61%
18/9/2015,"136,687","135,715","136,831","134,598",,0.66%
21/9/2015,"136,620","136,509","137,058","136,034",,-0.05%
22/9/2015,"135,134","136,607","136,770","134,316",,-1.09%
23/9/2015,"135,982","135,004","136,528","134,339",,0.63%
24/9/2015,"138,579","135,876","138,591","135,673",,1.91%
25/9/2015,"138,214","138,502","138,908","137,602",,-0.26%
28/9/2015,"135,761","138,111","138,269","135,490",,-1.77%
29/9/2015,"134,977","135,696","135,990","134,372",,-0.58%
30/9/2015,"133,645","134,912","135,426","133,096",,-0.99%
1/10/2015,"133,553","133,574","134,192","133,175",,-0.07%
2/10/2015,"136,506","133,490","136,738","132,577",,2.21%
5/10/2015,"136,795","136,495","137,361","135,800",,0.21%
6/10/2015,"137,963","136,758","138,471","136,623",,0.85%
7/10/2015,"137,473","137,881","138,577","136,987",,-0.36%
8/10/2015,"136,619","137,407","137,922","136,289",,-0.62%
9/10/2015,"139,098","136,525","139,542","136,479",,1.81%
12/10/2015,"139,721","139,133","140,475","138,655",,0.45%
13/10/2015,"139,935","139,679","139,979","137,828",,0.15%
14/10/2015,"140,837","139,869","141,389","138,974",,0.64%
15/10/2015,"140,660","140,767","141,230","139,556",,-0.13%
16/10/2015,"140,611","140,599","141,313","139,897",,-0.03%
19/10/2015,"139,905","140,592","140,681","139,579",,-0.50%
20/10/2015,"140,944","139,851","141,519","139,403",,0.74%
21/10/2015,"139,994","140,884","141,446","139,511",,-0.67%
22/10/2015,"140,714","139,887","141,134","139,379",,0.51%
23/10/2015,"141,441","140,665","142,678","140,304",,0.52%
26/10/2015,"140,904","141,351","141,496","140,474",,-0.38%
27/10/2015,"140,547","140,864","140,961","139,633",,-0.25%
28/10/2015,"139,992","140,475","142,403","139,369",,-0.39%
29/10/2015,"138,808","139,926","140,436","138,541",,-0.85%
30/10/2015,"137,799","138,750","139,371","137,265",,-0.73%
2/11/2015,"136,882","137,668","137,768","136,565",,-0.67%
3/11/2015,"135,321","136,828","137,378","134,776",,-1.14%
4/11/2015,"134,671","135,266","136,293","134,451",,-0.48%
5/11/2015,"134,406","134,628","135,490","134,178",,-0.20%
6/11/2015,"134,213","134,346","136,207","133,337",,-0.14%
9/11/2015,"134,580","134,179","135,369","133,839",,0.27%
10/11/2015,"134,214","134,509","134,951","133,868",,-0.27%
11/11/2015,"133,399","134,110","134,501","133,124",,-0.61%
12/11/2015,"133,074","133,355","134,034","132,080",,-0.24%
13/11/2015,"132,923","133,005","133,490","132,463",,-0.11%
16/11/2015,"133,369","132,466","134,620","132,358",,0.34%
17/11/2015,"132,123","133,314","133,829","131,507",,-0.93%
18/11/2015,"132,388","132,052","132,502","131,423",,0.20%
19/11/2015,"132,971","132,324","133,301","131,701",,0.44%
20/11/2015,"132,491","132,887","133,583","132,065",,-0.36%
23/11/2015,"131,346","132,291","132,518","130,997",,-0.86%
24/11/2015,"131,822","131,281","132,480","131,208",,0.36%
25/11/2015,"131,476","131,746","132,218","131,126",,-0.26%
26/11/2015,"131,480","131,385","131,843","131,098",,0.00%
27/11/2015,"129,968","131,366","131,729","129,116",,-1.15%
30/11/2015,"131,071","129,817","131,624","129,225",,0.85%
1/12/2015,"131,432","131,001","132,150","130,642",,0.28%
2/12/2015,"129,844","131,382","131,706","129,534",,-1.21%
3/12/2015,"130,245","129,791","130,790","128,922",,0.31%
4/12/2015,"133,891","130,149","134,008","129,849",,2.80%
7/12/2015,"132,172","133,859","133,991","131,912",,-1.28%
8/12/2015,"132,149","132,106","132,484","131,188",,-0.02%
9/12/2015,"130,270","132,056","132,544","129,957",,-1.42%
10/12/2015,"130,318","130,255","130,951","129,818",,0.04%
11/12/2015,"129,863","130,247","130,815","128,700",,-0.35%
14/12/2015,"128,344","129,961","130,497","128,173",,-1.17%
15/12/2015,"129,078","128,285","129,833","128,082",,0.57%
16/12/2015,"131,038","128,985","131,388","128,890",,1.52%
17/12/2015,"128,921","130,964","131,438","128,487",,-1.62%
18/12/2015,"129,244","128,863","130,064","127,700",,0.25%
21/12/2015,"130,698","129,187","131,053","128,940",,1.12%
22/12/2015,"129,835","130,624","131,030","129,667",,-0.66%
23/12/2015,"129,359","129,776","130,201","129,054",,-0.37%
