Date,Price
2015-06-22,146305.00 
2015-06-23,146094.00 
2015-06-24,145592.00 
2015-06-25,144922.00 
2015-06-26,145588.00 
2015-06-29,144561.00 
2015-06-30,143504.00 
2015-07-01,143974.00 
2015-07-02,143500.00 
2015-07-03,143507.00 
2015-07-06,143463.00 
2015-07-07,141736.00 
2015-07-08,139767.00 
2015-07-09,140651.00 
2015-07-10,142846.00 
2015-07-13,142941.00 
2015-07-14,142603.00 
2015-07-15,142281.00 
2015-07-16,142192.00 
2015-07-17,140770.00 
2015-07-20,136276.00 
2015-07-21,136423.00 
2015-07-22,135650.00 
2015-07-23,135130.00 
2015-07-24,136091.00 
2015-07-27,134856.00 
2015-07-28,135331.00 
2015-07-29,135919.00 
2015-07-30,135194.00 
2015-07-31,135795.00 
2015-08-03,134764.00 
2015-08-04,135263.00 
2015-08-05,135517.00 
2015-08-06,136173.00 
2015-08-07,135922.00 
2015-08-10,137680.00 
2015-08-11,138770.00 
2015-08-12,139680.00 
2015-08-13,138741.00 
2015-08-14,138593.00 
2015-08-17,139012.00 
2015-08-18,139049.00 
2015-08-19,140432.00 
2015-08-20,142176.00 
2015-08-21,141677.00 
2015-08-24,136776.00 
2015-08-25,135620.00 
2015-08-26,134941.00 
2015-08-27,136129.00 
2015-08-28,138007.00 
2015-08-31,137597.00 
2015-09-01,136123.00 
2015-09-02,136455.00 
2015-09-03,135132.00 
2015-09-04,133506.00 
2015-09-07,133526.00 
2015-09-08,134392.00 
2015-09-09,133496.00 
2015-09-10,133962.00 
2015-09-11,133567.00 
2015-09-14,133347.00 
2015-09-15,133117.00 
2015-09-16,134968.00 
2015-09-17,135792.00 
2015-09-18,136687.00 
2015-09-21,136620.00 
2015-09-22,135134.00 
2015-09-23,135982.00 
2015-09-24,138579.00 
2015-09-25,138214.00 
2015-09-28,135761.00 
2015-09-29,134977.00 
2015-09-30,133645.00 
2015-10-01,133553.00 
2015-10-02,136506.00 
2015-10-05,136795.00 
2015-10-06,137963.00 
2015-10-07,137473.00 
2015-10-08,136619.00 
2015-10-09,139098.00 
2015-10-12,139721.00 
2015-10-13,139935.00 
2015-10-14,140837.00 
2015-10-15,140660.00 
2015-10-16,140611.00 
2015-10-19,139905.00 
2015-10-20,140944.00 
2015-10-21,139994.00 
2015-10-22,140714.00 
2015-10-23,141441.00 
2015-10-26,140904.00 
2015-10-27,140547.00 
2015-10-28,139992.00 
2015-10-29,138808.00 
2015-10-30,137799.00 
2015-11-02,136882.00 
2015-11-03,135321.00 
2015-11-04,134671.00 
2015-11-05,134406.00 
2015-11-06,134213.00 
2015-11-09,134580.00 
2015-11-10,134214.00 
2015-11-11,133399.00 
2015-11-12,133074.00 
2015-11-13,132923.00 
2015-11-16,133369.00 
2015-11-17,132123.00 
2015-11-18,132388.00 
2015-11-19,132971.00 
2015-11-20,132491.00 
2015-11-23,131346.00 
2015-11-24,131822.00 
2015-11-25,131476.00 
2015-11-26,131480.00 
2015-11-27,129968.00 
2015-11-30,131071.00 
2015-12-01,131432.00 
2015-12-02,129844.00 
2015-12-03,130245.00 
2015-12-04,133891.00 
2015-12-07,132172.00 
2015-12-08,132149.00 
2015-12-09,130270.00 
2015-12-10,130318.00 
2015-12-11,129863.00 
2015-12-14,128344.00 
2015-12-15,129078.00 
2015-12-16,131038.00 
2015-12-17,128921.00 
2015-12-18,129244.00 
2015-12-21,130698.00 
2015-12-22,129835.00 
2015-12-23,129359.00 
2015-12-24,129574.00 
2015-12-25,129562.00 
2015-12-28,128737.00 
2015-12-29,128790.00 
2015-12-30,127957.00 
2015-12-31,127642.00 
2016-01-04,128303.00 
2016-01-05,128269.00 
2016-01-06,129570.00 
2016-01-07,130501.00 
2016-01-08,129688.00 
2016-01-11,128849.00 
2016-01-12,127880.00 
2016-01-13,128677.00 
2016-01-14,127276.00 
2016-01-15,127449.00 
2016-01-18,127777.00 
2016-01-19,127843.00 
2016-01-20,128761.00 
2016-01-21,129623.00 
2016-01-22,130461.00 
2016-01-25,131187.00 
2016-01-26,132654.00 
2016-01-27,133516.00 
2016-01-28,132502.00 
2016-01-29,135345.00 
2016-02-01,136527.00 
2016-02-02,135440.00 
2016-02-03,134696.00 
2016-02-04,134945.00 
2016-02-05,137205.00 
2016-02-08,137767.00 
2016-02-09,136889.00 
2016-02-10,135751.00 
2016-02-11,140213.00 
2016-02-12,140178.00 
2016-02-15,138631.00 
2016-02-16,136884.00 
2016-02-17,137897.00 
2016-02-18,139365.00 
2016-02-19,138258.00 
2016-02-22,136524.00 
2016-02-23,137596.00 
2016-02-24,137937.00 
2016-02-25,139363.00 
2016-02-26,139376.00 
2016-02-29,139589.00 
2016-03-01,140488.00 
2016-03-02,140691.00 
2016-03-03,143862.00 
2016-03-04,143235.00 
2016-03-07,143816.00 
2016-03-08,142052.00 
2016-03-09,141864.00 
2016-03-10,143817.00 
2016-03-11,142187.00 
2016-03-14,140605.00 
2016-03-15,139486.00 
2016-03-16,142210.00 
2016-03-17,140122.00 
2016-03-18,140054.00 
2016-03-21,139244.00 
2016-03-22,140286.00 
2016-03-23,137124.00 
2016-03-24,137405.00 
2016-03-25,137547.00 
2016-03-28,138534.00 
2016-03-29,140018.00 
2016-03-30,137704.00 
2016-03-31,138771.00 
2016-04-01,136510.00 
2016-04-04,135317.00 
2016-04-05,135876.00 
2016-04-06,134208.00 
2016-04-07,134262.00 
2016-04-08,134031.00 
2016-04-11,135773.00 
2016-04-12,136327.00 
2016-04-13,135932.00 
2016-04-14,134277.00 
2016-04-15,134221.00 
2016-04-18,134023.00 
2016-04-19,136555.00 
2016-04-20,136681.00 
2016-04-21,136692.00 
2016-04-22,137759.00 
2016-04-25,137661.00 
2016-04-26,138414.00 
2016-04-27,138897.00 
2016-04-28,136926.00 
2016-04-29,137610.00 
2016-05-02,137433.00 
2016-05-03,137094.00 
2016-05-04,136926.00 
2016-05-05,137077.00 
2016-05-06,138052.00 
2016-05-09,136906.00 
2016-05-10,138374.00 
2016-05-11,138509.00 
2016-05-12,137753.00 
2016-05-13,138333.00 
2016-05-16,138883.00 
2016-05-17,139677.00 
2016-05-18,138658.00 
2016-05-19,137951.00 
2016-05-20,137940.00 
2016-05-23,136462.00 
2016-05-24,134958.00 
2016-05-25,134930.00 
2016-05-26,133930.00 
2016-05-27,133649.00 
2016-05-30,133976.00 
2016-05-31,134540.00 
2016-06-01,132917.00 
2016-06-02,131830.00 
2016-06-03,132570.00 
2016-06-06,133932.00 
2016-06-07,133539.00 
2016-06-08,135031.00 
2016-06-09,135920.00 
2016-06-10,136321.00 
2016-06-13,136424.00 
2016-06-14,136448.00 
2016-06-15,136918.00 
2016-06-16,133345.00 
2016-06-17,135217.00 
2016-06-20,134092.00 
2016-06-21,132864.00 
2016-06-22,132209.00 
2016-06-23,133294.00 
2016-06-24,134533.00 
2016-06-27,135136.00 
2016-06-28,134873.00 
2016-06-29,135616.00 
2016-06-30,136568.00 
2016-07-01,137619.00 
2016-07-04,138543.00 
2016-07-05,137954.00 
2016-07-06,138197.00 
2016-07-07,137128.00 
2016-07-08,137425.00 
2016-07-11,139327.00 
2016-07-12,139418.00 
2016-07-13,140321.00 
2016-07-14,140636.00 
2016-07-15,140267.00 
2016-07-18,141065.00 
2016-07-19,141373.00 
2016-07-20,140621.00 
2016-07-21,140853.00 
2016-07-22,140262.00 
2016-07-25,139166.00 
